"","x"
"574198",320
"1299902",320
"1622399",320
"371687",319
"852455",319
"165884",319
"181267",319
"835059",319
"1102020",319
"336339",318
"823200",318
"169443",318
"1627326",318
"511145",318
"683142",318
"1036397",318
"1107979",318
"496621",317
"555156",317
"409241",317
"1461454",317
"544208",317
"1239502",317
"53531",316
"712993",316
"494109",316
"277302",316
"601065",316
"457096",316
"557961",316
"636725",316
"668621",316
"1056738",316
"714538",316
"654350",316
"702071",315
"119134",315
"355866",315
"894761",315
"721533",315
"920836",314
"805115",314
"475351",314
"1011702",314
"628747",314
"1270962",314
"1337253",314
"287711",313
"1309049",313
"924365",313
"929223",312
"677393",312
"741489",312
"784067",312
"710594",312
"1286857",312
"228694",311
"540052",311
"1224416",311
"1215633",311
"544382",310
"116257",310
"629130",310
"1289428",310
"1201506",310
"1233656",310
"861323",310
"435932",309
"1504790",309
"689422",309
"863441",309
"290208",309
"68412",309
"781718",309
"700287",309
"223778",309
"575974",309
"440307",309
"940376",309
"1707809",309
"465366",308
"529965",308
"314382",308
"318068",308
"366153",308
"152630",308
"547231",308
"364988",308
"595304",308
"1122633",308
"419578",307
"1231751",307
"857413",307
"638583",307
"714387",307
"680907",307
"97718",307
"634771",307
"1231261",307
"991936",307
"1194632",307
"648892",306
"1232283",306
"747499",306
"314442",306
"887551",306
"465944",306
"149652",305
"190110",305
"493130",305
"304715",305
"304058",305
"1491305",305
"1453343",305
"155912",304
"1206285",304
"492002",304
"1156121",304
"541893",304
"1516754",304
"456751",304
"1136205",304
"1089379",304
"89984",304
"817254",304
"622742",304
"639987",304
"203295",303
"641461",303
"751861",303
"678783",303
"1304420",303
"662820",303
"1064199",303
"1405095",303
"622317",302
"1288831",302
"358070",302
"761511",302
"309176",302
"843157",302
"915810",302
"710964",302
"908709",302
"613242",301
"773966",301
"761456",301
"812877",301
"156320",301
"719564",301
"1221665",301
"867582",301
"680298",300
"312114",300
"293742",300
"844457",300
"1456302",300
"690535",300
"1260308",300
"1273733",300
"1624628",300
"622466",299
"1193181",299
"668812",299
"690775",299
"1134383",299
"836671",299
"1678242",299
"898185",298
"545416",298
"157125",298
"669855",298
"1284960",298
"511888",297
"84336",297
"577337",297
"462477",297
"646100",297
"652079",297
"679684",297
"632709",296
"384568",296
"742822",296
"581874",296
"1364184",296
"511947",296
"1200409",296
"532855",296
"251788",295
"614812",295
"312481",295
"659498",295
"104726",295
"1645342",295
"282320",295
"498198",295
"271671",295
"22417",294
"74660",294
"705964",294
"433551",294
"242300",294
"603249",294
"1585526",293
"156246",293
"111366",293
"343998",293
"584882",293
"363456",293
"220100",293
"747348",293
"909778",292
"1283998",292
"299927",292
"230887",292
"210403",292
"1328807",292
"309737",291
"188150",291
"1017207",291
"410118",291
"497670",291
"251641",291
"652268",291
"582293",291
"316349",291
"437377",291
"1175212",291
"430319",291
"630580",290
"589174",290
"184217",290
"883099",290
"166393",290
"1518988",290
"583095",290
"704534",290
"714802",290
"885428",290
"1196147",290
"494629",289
"787036",289
"399386",289
"396724",289
"1440254",289
"533192",289
"1461532",289
"79845",288
"509699",288
"454887",288
"600699",288
"1425720",288
"1184364",288
"651706",288
"187193",287
"1585534",287
"1087667",287
"998024",287
"405703",287
"1286419",287
"586787",287
"636046",287
"1125129",287
"896181",287
"531477",287
"1093856",287
"701623",287
"1384866",287
"993957",287
"1066191",287
"900000",287
"461478",286
"311579",286
"964466",286
"275520",286
"793958",286
"752029",286
"486563",286
"509071",286
"1050603",286
"1349730",286
"534687",286
"165399",286
"983468",286
"151934",286
"361969",286
"843242",286
